Crime Type,Garda Station,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 ,"Rosses Point, Sligo Division",0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
 ,"Skreen, Sligo Division",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Sligo, Sligo Division",10,15,12,13,16,6,12,8,8,8,6,5,12,12,10
 ,"Ardee, Louth Division",1,2,0,2,1,1,1,2,5,3,3,0,5,1,3
 ,"Castlebellingham, Louth Division",1,2,0,0,0,1,0,1,2,0,2,1,2,1,0
 ,"Collon, Louth Division",0,1,0,0,0,0,0,1,0,0,0,1,0,2,1
 ,"Louth, Louth Division",0,0,0,0,1,0,0,3,0,1,0,0,1,0,0
 ,"Clogherhead, Louth Division",0,0,1,1,0,1,0,1,1,0,0,0,1,1,1
 ,"Drogheda, Louth Division",17,14,12,26,23,25,19,31,15,35,34,25,36,30,36
 ,"Dunleer, Louth Division",0,0,0,1,0,2,0,2,1,1,0,1,1,0,2
 ,"Blackrock, Co Louth, Louth Division",3,3,0,1,1,1,3,2,1,2,0,0,2,1,1
 ,"Carlingford, Louth Division",1,1,0,2,1,1,0,1,0,1,1,1,1,0,0
 ,"Drumad, Louth Division",2,1,1,0,1,2,4,0,0,2,3,0,1,0,0
 ,"Dundalk, Louth Division",28,27,18,33,50,26,25,51,35,48,30,35,37,30,26
 ,"Hackballscross, Louth Division",0,0,1,1,1,1,1,2,0,2,0,0,1,0,0
 ,"Omeath, Louth Division",0,0,0,0,1,0,0,0,3,1,1,1,0,0,0
 ,"Crusheen, Clare Division",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Ennis, Clare Division",7,14,7,5,18,9,16,11,7,12,13,14,12,6,15
 ,"Killaloe, Clare Division",0,0,1,2,0,1,1,0,0,0,0,0,2,1,0
 ,"Newmarket on Fergus, Clare Division",0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
 ,"Scariff, Clare Division",0,0,0,0,1,0,1,0,0,0,0,1,1,1,0
 ,"Shannon, Clare Division",6,1,3,2,3,3,6,8,9,3,1,9,1,0,2
 ,"Sixmilebridge, Clare Division",0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
 ,"Tulla, Clare Division",1,0,0,0,0,0,1,1,0,0,0,0,0,4,0
 ,"Ballyvaughan, Clare Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Corofin Co. Clare, Clare Division",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 ,"Ennistymon, Clare Division",1,1,0,0,0,0,1,0,0,0,0,0,0,1,0
 ,"Kildysart, Clare Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Kilkee, Clare Division",0,0,2,1,0,0,0,0,2,1,1,0,0,1,0
 ,"Kilmihil , Clare Division",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 ,"Kilrush, Clare Division",0,0,0,1,1,1,1,1,1,2,1,5,2,3,0
 ,"Lisdoonvarna, Clare Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Miltown Malbay, Clare Division",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 ,"Ballycroy, Mayo Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Bangor Erris, Mayo Division",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 ,"BÈal an Mhuirthead, Mayo Division",0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
 ,"Gleann na Muaidhe, Mayo Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Ballina, Mayo Division",2,2,3,3,4,3,4,0,0,2,0,7,2,1,1
 ,"Bonniconlon, Mayo Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Crossmolina, Mayo Division",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Killala, Mayo Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Balla, Mayo Division",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
 ,"Castlebar, Mayo Division",2,4,1,2,2,6,4,5,1,5,3,2,6,2,2
 ,"Partry, Mayo Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Ballindine, Mayo Division",0,2,0,0,2,0,1,0,0,0,0,0,0,0,0
 ,"Ballinrobe, Mayo Division",1,0,0,0,1,1,0,1,0,2,1,2,0,0,0
 ,"Claremorris, Mayo Division",0,1,1,0,0,0,3,2,3,1,3,1,0,1,0
 ,"Cong, Mayo Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Kilmaine, Mayo Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Knock, Mayo Division",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 ,"Shrule, Mayo Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Ballyhaunis, Mayo Division",0,1,1,0,1,1,0,1,0,1,0,1,0,0,0
 ,"Charlestown, Mayo Division",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 ,"Foxford, Mayo Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
 ,"Kilkelly, Mayo Division",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Kiltimagh, Mayo Division",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Swinford, Mayo Division",0,0,0,1,4,0,0,0,0,0,0,0,0,0,0
 ,"Gob an Choire, Mayo Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Keel, Mayo Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Louisburgh, Mayo Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Newport, Co Mayo, Mayo Division",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 ,"Westport, Mayo Division",0,4,0,1,6,1,1,0,1,2,3,1,0,2,1
 ,"Ahascragh, Galway Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Ballinasloe, Galway Division",2,0,1,2,3,1,3,5,4,1,3,4,4,1,2
 ,"Ballygar, Galway Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Creggs, Galway Division",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 ,"Kilconnell, Galway Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Kiltormer, Galway Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Mountbellew, Galway Division",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 ,"Moylough, Galway Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"An Maim, Galway Division",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
 ,"Carna, Galway Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Clifden, Galway Division",0,1,0,1,0,1,0,0,1,0,0,0,0,1,1
 ,"Cloch na Ron, Galway Division",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 ,"Letterfrack, Galway Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Sraith Salach, Galway Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Aran More, Galway Division",1,3,3,3,0,1,3,3,2,0,1,2,5,0,1
 ,"Athenry, Galway Division",0,0,1,0,0,0,1,0,1,0,1,1,0,0,1
 ,"Gaillimh, Galway Division",43,32,45,58,28,35,20,32,31,20,30,22,20,15,33
 ,"Leach Seoirse, Galway Division",0,2,0,0,2,2,1,1,0,0,0,0,0,0,0
 ,"Monivea, Galway Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
 ,"Ardrahan, Galway Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Craughwell, Galway Division",0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
 ,"Gort, Galway Division",1,2,0,0,1,0,0,0,0,0,0,1,1,0,0
 ,"Kinvara, Galway Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Eyrecourt, Galway Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Killimor, Galway Division",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
 ,"Kilrickle, Galway Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Loughrea, Galway Division",1,0,0,1,0,1,2,1,0,0,2,0,1,0,2
 ,"Portumna, Galway Division",1,0,0,2,0,1,0,0,0,0,0,0,0,0,0
 ,"Woodford, Galway Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"An Cheathru Rua, Galway Division",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 ,"An Spideal, Galway Division",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
 ,"Bothar Na Tra, Galway Division",6,8,4,11,3,1,4,5,3,1,7,3,3,1,3
 ,"Cill Ronain, Galway Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Indreabhain, Galway Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Leitir Mor, Galway Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Maigh Cuilinn, Galway Division",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
 ,"Oughterard, Galway Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Ros Muc, Galway Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Barnaderg, Galway Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Corofin Co. Galway, Galway Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Dunmore, Galway Division",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 ,"Glenamaddy, Galway Division",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Headford, Galway Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Milltown, Galway Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Tuam, Galway Division",0,1,2,2,6,2,1,2,0,0,4,0,1,2,2
 ,"Williamstown, Galway Division",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
 ,"Boyle, Roscommon Division",0,0,0,1,2,0,0,0,0,1,0,1,2,0,0
 ,"Elphin, Roscommon Division",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
 ,"Keadue, Roscommon Division",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 ,"Roosky, Roscommon Division",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 ,"Strokestown, Roscommon Division",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
 ,"Ballaghderreen, Roscommon Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
 ,"Ballinlough, Roscommon Division",1,0,0,0,0,0,1,0,2,0,0,0,0,0,1
 ,"Castlerea, Roscommon Division",1,0,0,0,0,1,0,1,0,0,0,0,2,0,0
 ,"Frenchpark, Roscommon Division",1,0,0,0,0,0,0,0,2,0,0,1,0,0,0
 ,"Tulsk, Roscommon Division",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Drumlish, Longford Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Edgeworthstown, Longford Division",2,2,0,2,1,4,2,1,3,0,3,1,2,1,0
 ,"Granard, Longford Division",0,2,0,0,1,1,2,1,1,1,0,0,1,2,0
 ,"Smear, Longford Division",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 ,"Kenagh, Longford Division",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
 ,"Lanesboro, Longford Division",0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
 ,"Longford, Longford Division",9,3,8,4,6,9,8,10,1,2,12,3,9,7,5
 ,"Ballymahon, Longford Division",0,0,3,2,0,0,0,0,1,0,1,0,0,0,1
 ,"Athleague, Roscommon Division",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
 ,"Clonark, Roscommon Division",0,0,0,1,0,0,0,0,1,0,0,2,1,0,0
 ,"Roscommon, Roscommon Division",0,2,2,1,2,2,3,1,0,0,1,0,2,5,2
 ,"Taughmaconnell, Roscommon Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Mayfield, Cork City Division",9,5,5,6,7,7,4,3,7,3,7,9,8,11,3
 ,"Anglesea Street, Cork City Division",55,32,36,44,40,46,32,31,33,36,49,29,20,16,21
 ,"Blackrock, Co Cork, Cork City Division",6,3,7,2,3,3,1,2,4,2,4,4,2,2,1
 ,"Bridewell Cork, Cork City Division",25,22,18,7,8,10,9,9,6,8,13,21,14,25,8
 ,"Ballincollig, Cork City Division",1,0,2,2,2,3,2,4,3,5,4,6,0,3,3
 ,"Blarney, Cork City Division",0,4,1,0,0,0,1,6,0,3,0,0,2,2,3
 ,"Gurranabraher, Cork City Division",18,11,7,17,9,14,6,11,12,3,9,7,11,9,6
 ,"Watercourse Road, Cork City Division",25,50,38,32,31,41,37,41,24,21,35,36,39,18,15
 ,"Bishopstown, Cork City Division",8,11,3,6,6,2,3,7,4,11,5,5,5,2,4
 ,"Carrigaline, Cork City Division",0,1,2,1,0,3,0,2,1,1,0,1,0,0,2
 ,"Crosshaven, Cork City Division",0,0,0,1,0,0,1,1,0,0,0,0,1,0,1
 ,"Douglas, Cork City Division",5,10,10,3,7,5,7,1,0,3,3,1,6,3,3
 ,"Passage West, Cork City Division",0,0,0,0,1,2,0,0,0,0,0,0,1,0,0
 ,"Togher, Cork City Division",19,13,5,6,8,6,9,5,1,5,5,6,4,0,3
 ,"Carrigtwohill, Cork North Division",0,0,0,0,1,1,0,0,0,0,1,1,1,0,0
 ,"Cobh, Cork North Division",1,2,0,1,2,2,2,1,1,0,1,1,1,2,2
 ,"Glanmire, Cork City Division",2,2,2,2,1,0,2,2,3,0,1,0,4,4,4
 ,"Watergrasshill, Cork North Division",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
 ,"Ballynoe, Cork North Division",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
 ,"Castletownroche, Cork North Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Fermoy, Cork North Division",2,1,2,0,1,1,0,0,0,0,0,2,2,0,2
 ,"Kildorrery, Cork North Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Kilworth, Cork North Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Mitchelstown, Cork North Division",0,0,0,0,1,0,2,0,0,0,1,0,1,1,0
 ,"Rathcormac, Co Cork, Cork North Division",2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 ,"Buttevant, Cork North Division",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
 ,"Charleville, Cork North Division",0,2,1,3,1,1,1,1,2,1,1,0,0,2,1
 ,"Doneraile, Cork North Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Glantaine, Cork North Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Liscarroll, Cork North Division",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 ,"Mallow, Cork North Division",4,2,5,1,2,1,1,3,1,2,2,2,1,1,4
 ,"Milford, Co Cork, Cork North Division",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
 ,"Ballycotton, Cork North Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Cloyne, Cork North Division",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
 ,"Killeagh, Cork North Division",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Midleton, Cork North Division",1,2,2,0,2,0,0,2,0,2,0,0,2,1,1
 ,"Whitegate, Cork North Division",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
 ,"Youghal, Cork North Division",1,0,2,2,1,1,1,2,2,0,1,1,1,2,0
 ,"Ballineen, Cork West Division",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 ,"Ballinhassig, Cork West Division",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 ,"Bandon, Cork West Division",0,0,4,0,2,1,0,3,2,1,1,0,0,2,2
 ,"Innishannon, Cork West Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Kilbrittain, Cork West Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Kinsale, Cork West Division",0,1,1,1,0,0,0,1,0,0,0,1,0,0,0
 ,"Timoleague, Cork West Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Ballydehob, Cork West Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Bantry, Cork West Division",0,0,1,0,1,0,1,5,1,1,0,0,0,1,1
 ,"Castletownbere, Cork West Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Drimoleague, Cork West Division",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 ,"Durrus, Cork West Division",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
 ,"Glengarriff, Cork West Division",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 ,"Kealkil, Cork West Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
 ,"Schull, Cork West Division",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 ,"Baltimore, Cork West Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Clonakilty, Cork West Division",0,2,0,0,0,1,0,0,0,0,1,0,0,0,1
 ,"Drinagh, Cork West Division",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 ,"Dunmanway, Cork West Division",0,0,0,1,1,0,2,3,2,0,0,0,1,0,0
 ,"Rosscarbery, Cork West Division",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 ,"Skibbereen, Cork West Division",0,0,0,2,0,2,5,2,1,0,0,0,0,0,0
 ,"Ballydesmond, Cork West Division",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
 ,"Boherbue, Cork West Division",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Kanturk, Cork North Division",1,0,0,1,0,1,1,1,0,0,1,0,0,0,1
 ,"Millstreet, Co. Cork, Cork West Division",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 ,"Newmarket, Cork North Division",2,0,0,0,0,1,1,0,0,0,0,1,0,0,1
 ,"Rathmore, Co Kerry, Cork West Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"BÈal aÅtha an Ghaorthaidh, Cork West Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Baile Bhuirne, Cork West Division",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 ,"Coachford, Cork West Division",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
 ,"Crookstown, Cork West Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Macroom, Cork West Division",0,0,2,0,0,3,0,4,1,0,1,0,2,1,0
 ,"Stuake, Cork West Division",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 ,"Tarelton, Cork West Division",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 ,"An Coirean, Kerry Division",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
 ,"Barraduff, Kerry Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Caherciveen, Kerry Division",0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
 ,"Glenbeigh, Kerry Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Kenmare, Kerry Division",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Killarney, Kerry Division",5,0,4,5,1,5,6,10,1,2,1,2,0,1,2
 ,"Killorglin, Kerry Division",0,1,0,0,0,0,0,0,0,1,1,2,1,0,0
 ,"Portmagee, Kerry Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Sneem, Kerry Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Ballybunion, Kerry Division",0,2,0,0,1,0,3,2,0,0,1,0,0,0,0
 ,"Ballyduff,  Co. Kerry, Kerry Division",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
 ,"Ballyheigue, Kerry Division",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
 ,"Knocknagoshel, Kerry Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Listowel, Kerry Division",1,2,4,3,1,2,0,1,1,1,3,0,1,0,1
 ,"Lixnaw, Kerry Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Tarbert, Kerry Division",0,1,0,0,0,0,0,1,0,0,0,0,2,0,0
 ,"Annascaul, Kerry Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Ardfert, Kerry Division",0,0,0,0,1,1,2,0,0,0,0,0,0,1,0
 ,"Baile an FheirtÈaraigh, Kerry Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Castlegregory, Kerry Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Castleisland, Kerry Division",2,0,1,1,0,1,1,2,1,1,0,0,0,1,0
 ,"Castlemaine, Kerry Division",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Dingle, Kerry Division",0,0,0,0,1,0,0,0,1,0,0,0,2,0,1
 ,"Farranfore, Kerry Division",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 ,"Tralee, Kerry Division",14,9,10,9,16,13,12,23,19,11,8,5,12,4,6
 ,"Ballylanders, Limerick Division",1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
 ,"Bruff, Limerick Division",0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
 ,"Bruree, Limerick Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Cappamore, Limerick Division",1,2,2,0,0,0,0,0,1,0,0,0,1,0,0
 ,"Hospital Co Limerick, Limerick Division",1,0,1,1,1,0,0,0,0,0,0,0,0,1,0
 ,"Kilmallock, Limerick Division",1,0,0,0,0,2,0,0,0,0,0,0,0,1,0
 ,"Murroe, Limerick Division",0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
 ,"Oola, Limerick Division",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 ,"Pallasgreen, Limerick Division",0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
 ,"Ardnacrusha, Limerick Division",0,1,0,1,1,2,2,1,4,5,0,2,2,0,1
 ,"Castleconnell, Limerick Division",2,3,1,2,2,1,0,3,1,1,1,1,0,2,0
 ,"Henry Street, Limerick Division",39,42,30,34,39,62,59,77,66,49,51,38,44,29,37
 ,"Mayorstone Park, Limerick Division",25,29,13,23,24,44,35,32,21,21,18,13,10,8,19
 ,"Abbeyfeale, Limerick Division",0,0,1,0,0,3,2,0,0,0,1,0,0,1,1
 ,"Adare, Limerick Division",1,0,1,0,1,0,1,1,0,1,0,0,0,1,0
 ,"Askeaton, Limerick Division",0,0,0,0,1,0,1,0,2,0,0,0,0,0,0
 ,"Athea, Limerick Division",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Ballingarry, Limerick Division",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
 ,"Croom, Limerick Division",0,0,0,0,0,1,0,1,1,0,1,0,0,1,0
 ,"Drumcollogher, Limerick Division",0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
 ,"Foynes, Limerick Division",1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
 ,"Glin, Limerick Division",0,0,0,0,0,0,1,2,1,0,1,0,0,1,0
 ,"Newcastle West, Limerick Division",0,0,0,1,2,4,9,6,5,0,2,0,1,0,0
 ,"Pallaskenry, Limerick Division",0,0,0,1,0,0,0,3,0,1,1,0,0,0,1
 ,"Rathkeale, Limerick Division",1,0,0,0,0,0,1,3,2,1,1,0,1,0,0
 ,"Ballyneety, Limerick Division",0,0,0,1,0,1,1,3,1,0,1,0,0,0,0
 ,"Caherconlish, Limerick Division",1,1,1,0,0,0,1,0,1,1,1,1,0,0,1
 ,"Patrickswell, Limerick Division",1,2,4,0,0,1,0,1,1,0,1,1,0,1,0
 ,"Roxboro Road, Limerick Division",31,31,30,42,44,35,22,29,28,14,26,23,22,19,14
 ,"Banagher, Offaly Division",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
 ,"Birr,  Offaly Division",0,1,0,3,1,4,5,4,1,3,2,4,1,0,1
 ,"Cloghan, Co. Offaly, Offaly Division",0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
 ,"Ferbane, Offaly Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Kilcormac, Offaly Division",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
 ,"Kinnitty, Offaly Division",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 ,"Shinrone, Offaly Division",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 ,"Abbeyleix, Laois Division",0,0,0,1,1,0,0,0,0,2,0,2,0,1,1
 ,"Arles, Laois Division",0,2,0,0,1,1,1,2,0,0,0,0,0,0,1
 ,"Ballylinan, Laois Division",0,0,0,0,1,0,1,1,1,0,1,0,0,0,0
 ,"Borris-In-Ossory, Laois Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Clonaslee, Laois Division",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 ,"Durrow, Laois Division",2,2,0,0,0,0,0,0,1,1,0,0,0,0,0
 ,"Mountmellick, Laois Division",0,1,1,4,1,2,2,2,3,2,2,1,1,1,2
 ,"Mountrath, Laois Division",1,1,2,2,0,2,0,0,4,0,2,1,1,4,4
 ,"Portarlington, Laois Division",0,0,5,0,8,2,0,5,9,5,4,2,4,2,5
 ,"Portlaoise, Laois Division",5,3,7,8,7,7,13,10,16,7,15,8,14,17,27
 ,"Rathdowney, Laois Division",1,1,1,0,0,0,0,0,0,1,0,0,1,0,1
 ,"Stradbally Co Laois, Laois Division",1,0,1,0,0,0,3,1,1,0,3,0,4,4,0
 ,"Clara, Offaly Division",1,0,3,0,1,1,3,0,1,0,0,0,1,3,0
 ,"Clonbologue, Offaly Division",0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
 ,"Daingean, Offaly Division",0,0,1,1,0,0,1,1,1,0,0,1,0,0,0
 ,"Edenderry, Offaly Division",3,1,4,1,1,2,7,5,3,4,3,0,1,1,1
 ,"Rhode, Offaly Division",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Tullamore, Offaly Division",5,8,2,1,4,4,1,5,3,6,9,5,1,3,2
 ,"Ashbourne, Meath Division",9,5,6,8,7,6,10,4,9,7,8,9,8,10,4
 ,"Duleek, Meath Division",0,0,1,3,2,3,1,3,0,2,1,5,4,3,0
 ,"Dunboyne, Meath Division",15,9,4,8,6,5,12,4,8,7,5,3,10,2,10
 ,"Dunshaughlin, Meath Division",5,2,5,3,1,4,2,2,1,3,4,2,1,1,2
 ,"Laytown, Meath Division",2,5,9,14,3,2,2,6,8,11,9,9,3,3,12
 ,"Baile AÅtha Bui, Meath Division",0,0,1,0,4,0,4,0,1,0,1,2,1,1,0
 ,"Kells Ceanannus Mor, Meath Division",0,6,2,1,1,2,3,1,3,1,3,0,1,2,1
 ,"Oldcastle, Meath Division",2,1,0,2,1,0,3,2,1,0,1,0,0,0,1
 ,"Navan, Meath Division",10,19,10,16,7,13,18,20,21,17,10,19,20,6,12
 ,"Nobber, Meath Division",0,0,0,1,0,1,0,1,1,0,0,1,0,1,0
 ,"Slane, Meath Division",1,0,0,0,0,0,0,0,0,1,1,0,1,1,0
 ,"Ballivor, Meath Division",0,0,0,1,2,0,1,0,0,0,1,0,1,0,0
 ,"Enfield, Meath Division",3,2,4,0,1,2,1,3,3,1,1,1,1,1,1
